Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,350.000000,354.779999,345.200012,348.000000,348.000000,3777100
2022-04-12,355.910004,359.410004,342.250000,344.100006,344.100006,3824300
2022-04-13,343.920013,352.000000,341.160004,350.429993,350.429993,3231000
2022-04-14,350.950012,352.000000,339.859985,341.130005,341.130005,4343800
2022-04-18,340.000000,342.359985,331.619995,337.859985,337.859985,5105000
2022-04-19,333.220001,351.679993,333.220001,348.609985,348.609985,20906900
2022-04-20,245.199997,248.699997,212.509995,226.190002,226.190002,133387500
2022-04-21,220.000000,227.679993,211.520004,218.220001,218.220001,53501600
2022-04-22,220.179993,226.270004,210.050003,215.520004,215.520004,37515100
2022-04-25,213.809998,216.660004,204.509995,209.910004,209.910004,28152000
2022-04-26,208.800003,209.149994,198.279999,198.399994,198.399994,20318100
2022-04-27,194.009995,200.190002,187.770004,188.539993,188.539993,22298400
2022-04-28,191.559998,201.479996,185.600006,199.520004,199.520004,21363200
2022-04-29,198.679993,204.710007,190.000000,190.360001,190.360001,16391900
2022-05-02,191.710007,200.210007,190.009995,199.460007,199.460007,14591600
2022-05-03,198.289993,203.199997,194.770004,199.869995,199.869995,11839400
2022-05-04,197.649994,204.380005,191.009995,204.009995,204.009995,12218800
2022-05-05,200.449997,200.710007,186.000000,188.320007,188.320007,13971300
2022-05-06,186.750000,187.210007,175.809998,180.970001,180.970001,17185500
2022-05-09,177.660004,183.199997,172.300003,173.100006,173.100006,14031300
2022-05-10,176.009995,181.869995,170.570007,177.660004,177.660004,13883900
2022-05-11,176.089996,180.919998,165.550003,166.369995,166.369995,12665500
2022-05-12,163.960007,177.580002,162.710007,174.309998,174.309998,17662100
2022-05-13,177.160004,187.770004,176.009995,187.639999,187.639999,13136300
2022-05-16,193.300003,195.889999,185.699997,186.509995,186.509995,16145000
2022-05-17,189.169998,191.399994,185.169998,190.559998,190.559998,9876700
2022-05-18,186.720001,187.699997,176.270004,177.190002,177.190002,9665600
2022-05-19,178.050003,186.300003,175.710007,183.479996,183.479996,10448500
2022-05-20,185.869995,190.190002,179.770004,186.350006,186.350006,10429400
2022-05-23,186.149994,187.660004,177.889999,187.440002,187.440002,9602000
